"UserPrincipalName","Department","Status","Error","TimeStamp"
"bassam.shaikh@abdullah241191outlook.onmicrosoft.comm","HR","FAILED","Response status code does not indicate success: 404 (Not Found).","8/1/2026 2:14:56 AM"
"bassam.shaikh@abdullah241191outlook.onmicrosoft.comm","HR","FAILED","Response status code does not indicate success: 404 (Not Found).","8/1/2026 2:20:47 AM"
"bassam.shaikh@abdullah241191outlook.onmicrosoft.comm","HR","FAILED","You cannot call a method on a null-valued expression.","8/1/2026 3:06:40 AM"
"bassam.shaikh@abdullah241191outlook.onmicrosoft.comm","HR","FAILED","You cannot call a method on a null-valued expression.","8/1/2026 3:20:26 AM"
"bassam.shaikh@abdullah241191outlook.onmicrosoft.comm","HR","SUCCESS",,"8/1/2026 3:30:24 AM"
"bassam.shaikh@abdullah241191outlook.onmicrosoft.comm","HR","SUCCESS",,"8/1/2026 3:36:22 AM"
"bassam.shaikh@abdullah241191outlook.onmicrosoft.comm","HR","SUCCESS",,"8/1/2026 3:48:16 AM"
"bassam.shaikh@abdullah241191outlook.onmicrosoft.comm","HR","SUCCESS",,"8/1/2026 3:49:19 AM"
"bassam.shaikh@abdullah241191outlook.onmicrosoft.comm","HR","FAILED","You cannot call a method on a null-valued expression.","8/1/2026 3:51:11 AM"
"bassam.shaikh@abdullah241191outlook.onmicrosoft.comm","HR","SUCCESS",,"8/1/2026 3:01:06 PM"
"bassam.shaikh@abdullah241191outlook.onmicrosoft.comm","HR","SUCCESS",,"8/1/2026 5:26:48 PM"
"bassam.shaikh@abdullah241191outlook.onmicrosoft.comm","HR","SUCCESS",,"8/1/2026 5:35:54 PM"
