"Timestamp","DisplayName","UserPrincipalName","Department","Status","Reason"
"2026-07-27 18:02:41","Mia Thompson","mia.thompson@abdullah241191outlook.onmicrosoft.com","IT","Skipped","User already exists"
"2026-07-27 18:19:04","Mia Thompson","mia.thompson@abdullah241191outlook.onmicrosoft.com","IT","Skipped","User already exists"
"2026-07-29 18:34:05","Mia Thompson","mia.thompson@abdullah241191outlook.onmicrosoft.com","IT","Skipped","User already exists"
"2026-07-29 18:38:12","David Khan","david.khan@yourtenant.onmicrosoft.com","IT","Failed","Response status code does not indicate success: 400 (Bad Request)."
"2026-07-29 18:42:37","David Khan","david.khan@abdullah241191outlook.onmicrosoft.com","IT","Created","Success"
"2026-07-29 18:55:40","David Khan","david.khan@abdullah241191outlook.onmicrosoft.com","IT","Skipped","User already exists"
"2026-07-29 20:16:35","David Khan","david.khan@abdullah241191outlook.onmicrosoft.com","IT","Skipped","User already exists"
"2026-07-29 20:19:49","Ahmed Ali","ahmed.ali@abdullah241191outlook.onmicrosoft.com","IT","Created","Success"
"2026-07-29 20:29:21","Sarah Ahmed","sarah.ahmed@abdullah241191outlook.onmicrosoft.com","IT","Created","Success"
"2026-07-29 20:37:46","Sarah Ahmed","sarah.ahmed@abdullah241191outlook.onmicrosoft.com","IT","Skipped","User already exists"
"2026-07-29 20:39:31","Ibrahim Naz","ibrahim.naz@abdullah241191outlook.onmicrosoft.com","IT","Created","Success"
"2026-07-30 00:30:07","Ibrahim Naz","ibrahim.naz@abdullah241191outlook.onmicrosoft.com","IT","Skipped","User already exists"
"2026-07-30 02:53:20","Bassam Shaikh","bassam.shaikh@abdullah241191outlook.onmicrosoft.com","IT","Created","Success"
